trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-145.48925325176353,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,4,-82.10740019227472,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-160.9177154984943,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-68.89199159618691,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-17.291367632429367,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-193.0581080411527,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-171.5963927989313,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-98.01970598832604,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-138.9181368932142,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-191.16177506825824,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,4,-118.54539266308676,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-134.01973675978007,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-152.93780981096356,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-73.1347510594576,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-38.16073739054757,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-171.5275518130699,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-107.62929217874833,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-62.279231483165205,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-45.33797471460173,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-94.81801266389206,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': -0.05}",20,0,-57.517870587592235,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': -0.05}",30,0,-188.75992976794018,"{0: 14, 1: 3, 2: 11, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': -0.05}",20,0,-83.42105617803803,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': -0.05}",30,0,-222.54300143437527,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 5}",0
5,True,"{'a': 0, 'e': -0.05}",20,0,-195.52610826301827,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': -0.05}",25,0,-153.83484929135824,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': -0.05}",20,0,-130.95789581000196,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': -0.05}",30,0,-193.7916104190074,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': -0.05}",25,0,-115.40882353562228,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': -0.05}",25,0,-103.3353893509112,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
