trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,2,-117.9747822099836,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.89623512542741,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-246.78041446303277,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.2402762928148,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.18645251245525,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.80743908367253,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.62490712559458,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-277.6243510042783,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.86638505077637,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.65221733092127,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.69735265258647,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.45539733647281,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.30012300895771,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.23823011352223,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.78999842331295,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.793575567934525,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.71185424828818,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.1542730268314,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-38.46698061515054,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.76105958485256,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.85582046110802,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.277741267659444,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.8081572017057,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.10440868502576,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.05553812091733,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-160.86042018985842,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-186.41266962960097,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.434580536189344,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.63380861001843,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.77163562069003,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
